标签,文本
disgust,。朝鲜国防委员长金正日访问中国，20日凌晨2时开始，中、北边境地带的图们市内出动了1000多名公安干警和身穿军装或便衣的军人，戒备森严——《联合早报》 小金，别来了吧，弄得大家都不安宁。
surprise,。[吃惊][吃惊]上海昨夜有小小地震，据媒体报道，才2级多一点点，应未造成伤害吧。。好在，今天的人大概是不信天人感应的。
like,。据悉，团中央日前发出《关于进一步明确流入地团组织在驻外团组织建设中工作职责的通知》，体现了各级对驻外团组织的重视在加强。。期待一个春天……
sadness,。昨天00:50，患狂犬病的女孩，她的生命还是走到了尽头，很年轻，14岁，那女孩是那么的懂事、听话，学习成绩也是一等一的好。。她的离去，我们都很痛心，难受。。。！
like,。大家都很愛小雛菊呢[樱花][樱花]今天我自己和姐妹也應景了一把[花痴][花痴]一黑一白實在是很有愛呢[一箭穿心][一箭穿心]
like,。这一事件发展下去，极有可能出现的逻辑是：随着波音(也包含空客)等外部力量全面覆盖中国大飞机市场，中国自己的大飞机产业再次夭折，波音等继续独享中国市场的大蛋糕。。当然，我们希望这一切不会发生。
sadness,"。今天陪哥哥去医院,见到一对老年夫妻,爹爹87岁,婆婆89岁,爹爹生病了,没有孩子陪,让我觉得他们太可怜了."
like,。0211利特推特更新：寒冷的天气里从亚洲~世界各地赶来的我们的FAN们!!!。在广播open studio前辛苦了!!!。小心感冒，要健康啊!!!!!
happiness,。今天leo平生第一次逛商场啦，知道要给他买东西，那叫一个high啊，都不肯在车里呆着：leo在久光[嘻嘻]
like,。第一次听李宇春现场，真是不错。。台风稳健，舞步轻盈，表现力很好。。从超女舞台到今天的优秀成绩，努力加天赋加机遇，春春的成功不是偶然的。
happiness,。哇噻。。。。终于有网络了。。因为我和qi小姐送货回来深圳快递回家，然后一会再返回HK。。太多一次运不回了。
like,。男艺人们正在刻苦的练习着他们的舞蹈！。每个都是那么认真的学习动作、挥洒汗水！。舞动第三集倒计时27小时！。给他们加油！[good]
disgust,"。确是高论，语不惊人死不休！。但不知代表她本人的生存哲学？。还是北京政界的思维、修养、认知、学术水平？。素质如此不堪,谬论一出，骂声一片！。评论：惊为天人，实际天猪一只！"
like,。不错！.....。还有另一个方案，此情形下，暗部与天空无法兼顾，不如以天空调子曝光，前景选个更有特征的角度，拍成纯剪影，也很有感染力！
like,。我的歌声里。。最好听。。是吧@碎欣欣。//@早安丶晚安丶心语: 喜欢曲婉婷，最近一直在循环听她的歌~[听音乐]
sadness,。送走了。。。又是那双超美凉鞋！！。[爱你]在车里等的时候揉眼。。靠着前座睡觉。。5555555宝宝很累吧麻麻尊心疼[泪]暑假可以再见面咩[泪][泪]
sadness,。因为有你，我认真过，我改变过，我努力过，我悲伤过…。我傻，为你傻;。我痛，为你痛;。深夜里，你是我一种惯性的回忆…。我不想在为过去而挣扎，我不想在为过去而努力，我不想在为思念而牵挂，可这些都只是不想，我，做不到…
like,。[汽车] 打车的司机超级像张艺谋...。他自己调侃的说，有很多人这么说了，然后腼腆的笑了，我觉得他的笑容特别的好看...。阳光灿烂的[太阳]
happiness,。我的情绪又开始了。。在Q上碰到他。。老熟人了。。攀谈起来。。我说是不是自己不够好所以总是落到这种下场。。。。他说：你很好啊。。只是他们不懂得珍惜你，也包括我在内。。。。。好吧。。心情好起来了。。努力工作吧。。谢谢。
like,。Lanzavecchia-Wai工作室在最近的2010米兰设计周上展出了他们的新品，这个是一系列的灯具，有灯笼状的，喇叭状的，各个造型各一，一改传统灯具的造型。。采用金属框架结构和红布材料，把这些灯具挂在家里真是别有一番风格.
anger,。一月一次的催专栏日……。@夏七夕CC 这是我本月最后一次催你了……。你看着办！！！！！！！！！！！！！！！！
sadness,。旅行的时候嘴里带着个大溃疡真是罪孽…。痛还是要一直吃吃吃…。然后痛痛痛…。刚刚喷这罐东西我半边脸都痛麻了…
happiness,。网友：12:50:00 飞起来哦 飞起来了，现场欢呼中，飞起来了，我哭了，现在已经在高空，现在2001在空中。不打时间耽误了，飞起来，我们的丝带飞起来，现场观察人员在哭泣中是欢喜的哭，是中国人最激动的哭，大家跳起来，现在2001在空中看 不见身影，越来越远，我哭了
like,。那天去《忠烈杨家将》片场时有看到林峰哥哥，哥哥好像腰受伤了，一直用手扶着，但却只要一拍到他的戏份就很认真的过去了！。小四朗这几天有些感冒想起林峰哥哥的坚强和认真也就不算什么了！。加油！。加油！[耶][耶]
like,。谢谢你们 爱我的每个人 卸下美丽的外壳 让我在难熬艰难的时段走过来 I STILL BELIEVE～。可以让我再次为爱重生[害羞][害羞]
happiness,。工作中心开始有了变化，但是还的认真对待，估计我的朋友都无法想象我严肃开会的样子吧？。[偷笑] 装蹩~~~~~~~~~
disgust,。今天是国际消费者权益日，很多行业很多人都惧怕这一天，因为所处行业黑暗，所做的事情不能见光。。今天和小朋友说起给鸡鸭填沙增量的商贩，小朋友们都谴责，太不道德了。。真希以后不要有3.15这样的日子。
happiness,。周末来公司加班，同事说我有快递，我还在想我买的东西都收到了啊，谁会给我寄东西……。没想到是DUO 伞！[耶]
like,。[抓狂]广大百万年薪招19学院院长，身为广大学子我都要上网先知道条消息……[晕]。大换血啦，期望广大越办越好[钱]
happiness,。到苏州了！。旅途很疲劳！。我是小超人！。放下行李立马赶往苏州乐园参加主持人陪你坐过山车活动！。但愿我别吓失态了！。当个主持人不容易啊！！
like,。在集仕港溜达，看到一家罗亚帝，于是进去洗头，接待我的是位小妹妹，她说进公司两年了，自身改变非常大，93年的她令父母朋友觉得懂事了很多，与之前判若两人。。。感慨啊，赞一下罗亚帝，我们何时能做到这样的教育。
surprise,。车站碰到个要饭的，他手里拿着一张纸，写着：我是一个聋哑人，请你施舍一点给我。。我怀疑他是骗子，于是我就说了一句：对不起，我不认识字。。然后他就开口说话了：兄弟，我的钱包被人扒了没钱买车票回家了，你借我点钱吧。。我惊讶：你不是聋哑人吗？。他也很吃惊：你不是不认识字吗？
like,"。他是一个哑巴，大概17,8岁！。我们和他不认识，却把我们店门口一包包的建筑垃圾搬去扔掉！。他没有读过书，即使知道那是垃圾，每次拿之前都会用眼神和表情询问我他可不可以拿去扔！。即使我们都知道他不是拿回家，很善良！。很快乐！。其实生活就是这样，心态快乐！。什么都快乐！。心态不好，什么都有，还是不快乐！"
surprise,。我第一次上大学的那时候，我第一次出远门，我妈硬塞给我两箱东西，我也不晓得麻烦，只到路上才发现。。轮到我妈出远门，我再三叮嘱别带多少东西，妈妈才放下。。天，她连锅产之类都带。
like,。特别表扬：雷晓栋 西安汽车科技职业学院学生，在车展现场捡到现金若干，及时上交组委会。。特此，向雷晓栋同学这种拾金不昧的高尚品德表示崇高敬意！。向雷晓栋同学学习！[鼓掌][鼓掌][鼓掌]
sadness,。回复@我家露台阿驰:话说，这个季节去正是好时候啊，为什么我们的假期这么少这么少啊。//@我家露台阿驰:回复@evenjs:美的跟画似的～～。色彩饱和度极高。。梦里不过如此。。//@我家露台阿驰:如果说念念不忘想再次重游的地方我选新疆吧，
like,。你问我爱你有多深，我爱你有几分，我滴情也真，我滴爱也真，月亮代表我滴心，你问我爱你有多深，我爱你有几分，我滴情不移，我滴爱不变，月亮代表我滴心，轻轻滴一个吻，已经打动我滴心，深深滴一段情，教我思念到如今[爱你]
happiness,。哈哈哈！。[思考]后置IO的改法想好了，明天去买材料！。[哈哈] 改好就可以准备最后的装机，拍照，找个论坛发帖weiphone+pcinlife！。暂定....
like,。我的新歌恋恋芳踪和罗志祥新mv在拍摄手法上有异曲同工之妙哦!。期待二月全国钱柜主打我的mv.真的超美了!。给力哈!!!
sadness,。有过这样的经历么，深夜，突然远远传来街巷里男人的怒骂声、女人的哭嚎声，你从梦中惊醒。。几声之后，黑夜又归于平静，却留下无尽的凄沧。。什么样故事，怎样的愤怒或哀伤，那男人与女人，和了或凉了，又如何挨过这长夜…。一切都没有答案，凭添夜的无助。
disgust,。中国社会变态到什么程度，看看这几天的媒体表现就知道了。。同样是采访，对雇凶报复的罪犯是毕恭毕敬，跟对待英雄归来似的。。而对被打的打假者，却跟审问犯人似的。。显然这些媒体更认同造假者、罪犯。
happiness,。很享受不巡演，晚上不演出的日子，一切恢复正常～～。正常作息，正常吃饭，陪伴家人和朋友！。不用拖着箱子坐大巴，赶飞机，乘火车～～。但是巡演也有乐趣，斗地主，逛大街，吃小吃等等，一切尽在不言中！！！。经常巡演的同学们有同感吗？
like,。第一次感觉自己有点空了，一次次拿起手机，打开微博，却不知该写些什么……。躺在被窝里赖床的感觉真好，如果没有人打扰我，真想就这样不吃不喝什么都不做，静静的躺一天！。放空自己的眼睛……。放空自己的心……。休息……。休息……。休息……。让我的惰性漫延，让我与世隔绝……
happiness,。翠爷这名儿不是他妈白叫的！！！。知道为什么了么？？？。哈哈哈哈哈哈！！。今年冬天的第一场雪，谁跟我雪地里裸着翻跟头去？？？？？？
disgust,。一个人如果命不好而没有学识，危害不大，如果命好，身居高位，而没有学识，危害就很大。。我们的民族被学识不足的人危害甚大。。这也是我们这个民族成王败寇文化观念直接导致的恶果。。无论使用什么手段只要成功了，都能在我们这个民族中获得尊重。。如果不择手段君子是永远斗不过小人的。
anger,。我心里好像一直都很阴暗，看到北京街边满树的装饰灯，我就会想起初中历史课上学到的故事：隋朝二世时，海外友人看到很多树被丝绸包裹着，就问隋朝的官员：贵国也有衣不蔽体的穷人，为什么这些丝绸不给这些穷人而用来包树呢？。隋朝官员默不能答。
sadness,。离开公司的大门，感觉一脑门子的官司顿时拂去，剪不断理还乱的债务已成浮云~但夜里依然会因此而失眠。。就好像昨晚真切的体会到了盗梦空间般的几层间的纠葛。。为工作而失眠，总比为女人而失眠有出息，是吧。[衰]
like,。[印迹] 亲情在这世间，总是让生活充溢着一份份平平常常但却恒久的温暖，亲情是贯穿生命始终的。。为此，我祝福天底下每一位母亲—母亲节快乐！[康乃馨]
disgust,。中国乳品行业口号：做化工，我们更专业。。中国煤矿行业：挖矿工，我们更专业。。中国食用油行业：做提炼，我们更专业。。中国城管部门：砸场子，我们更专业。。中国防疫部门：搞计生，我们更专业。。中国中央电视台口号：做娱乐，我们更专业。。中国P民口号：做小强，我们更专业。
disgust,"。中国共产党的目标是实现共产主义，信仰是马克思的共产主义...。至今，吾党的信仰是什么?。还为实现共产主义奋斗终身吗?。党员已经失去目标!。吾党主张信仰自由 , 至今佛教、基督教、儒教、道教成了信仰主题。。这是好事, 可怜吾党党员，既失去自己信仰，又不让追崇其他信仰 , 因而造成相仰危机，导致权贵腐败。"
disgust,"。破皮鞋的用处可真多:可以制作药囊,高蛋白的皮革奶.。美味的果冻,豆腐,凉粉,肉冻...。已经成为食品中必备的原料.。以后皮鞋破了可别扔,自己煮煮吃了.。既环保还能加营养..."
disgust,。我宁愿相信下面凤姐的这张全裸照片是PS的，而不是她本人的。。我真的不知道凤姐脱光了想干什么？。是想证明她很丰满、很性感、很女人？。还是另有他图？！
happiness,。宝贝来亲个响的！！。吧唧一下得，木嘛一声得[兔子][嘘][兔子]。看谁嘴巴撅得最长[做鬼脸][做鬼脸][帅]
like,。2蝶濑尿虾，牛肉滑蛋，油泡田鸡，腐乳通菜！！！。5碟野先79蚊，底到无朋友啊，难怪天天都爆场啦！！！！。正！[good][good][good]
disgust,。国庆在学校的同学，记得帮隔壁没人在的宿舍看一下噢。。大家注意防偷，小偷太猖獗了。。//@广西大学非官方微博:[吃惊][吃惊]
disgust,。既然联合国批准的是禁飞区，为啥没有过空战？。为啥打击地面部队？。为啥射击总统车队？。难道禁飞是禁子弹飞吗？。看来还得飞~~~~！。北约不能自圆其说，早晚挨报应。
like,。去年给广播室的1代CD。。今天学校放了半个小时。。一切的矛盾，对某人的不满，暂时在音乐中趋于缓和。。听到熟悉的旋律还是会情不自禁的哼唱。。看到一群人在操场旁的喇叭下停留。。放到HUG会惊呼。。心情很平静 毕竟1代的歌曲深得我心
like,。记得初中的时候有档广播节目是我相当爱的，伴随我走过了灰灰的初三生活。。——《疯狂制造》，可爱的朱宁和柳泉，不知道还有谁我一样记忆着你们，我发誓若让我听见你们的声音一定第一时间叫出你们的名字。。祝福：一切都好～
sadness,。单翅 还不够起飞的力量 有人害怕孤独 有人享受寂寞 天气渐冷 没有人在起风的街头拥着我 那就多穿点儿吧
disgust,。外婆才上车多久啊卧槽！。多少个人来电话了啊卧槽！。十几个了吧卧槽！。我生来就是客服的命啊客服的命！。欢迎您的来电啊！[哼]
anger,。悉闻哈尔滨八位律师被打，甚至造成女律师流产，愤怒难息！。作为曾被法官殴打的律师，深知法官殴打律师的意义绝不仅是律师被打，而是对律师职业的极端漠视，换而言之就是殴打法治！。诸位，如此行径，怎可姑息？。怎可姑息？。声援受害律师的同时，对肇事法官予以强烈谴责！
like,。下午吃了碗猪脚姜，总是觉得不够入味，姜也不够辣，很久没吃过大呼过瘾的猪脚姜了，请问桂城边度仲有正宗的猪脚姜啊？
happiness,。就为这个，剪了一个短发…[哈哈][哈哈][哈哈]@我爱钟妞妞 @lacrimosa_hui @大熊hui
sadness,。周笔畅你今天晚上不要来更博了哦，因为我准备今晚必须11：00前睡觉。。。。[挖鼻屎] 急需一个质量好点的睡眠来改善最近纠结烦躁的状态，年纪大了的人可能真的已经熬夜熬不起了。。。。T^T[叹气]
like,。希望：领导顺着你，汽车让着你，钞票贴着你，法院偏向你，官运伴着你，学校由着你，房产随便你，恋人爱着你！
like,。一生就这么一次，谈一场以结婚为目的的恋爱吧。。不再因为任性而不肯低头，不再因为固执而轻言分手。。最后地坚信一次，一直走，就可以到白头。。惟愿这一生，执子之手，与子偕老。。你敢天长，我就敢地久。
happiness,。也许没想象中那么多贴身的，但想想那个翻过来那个动作，得练多少遍，那得多…………。你们都懂得，嘿嘿嘿[哈哈]
like,。在九江的鹤问湖边，看到一大群水鸟，三百只以上，灰雁，绿头鸭为主。。还有十二只天鹅。。太难得了，距离大坝只有不到一百米。。能清晰得听到天鹅的鸣叫。。这个地方是九江重点开发区，附近已经修好了多条主干路，不久高楼大厦即将拔地而起，希望这种人与自然和谐相处的景象能继续下去。[呵呵]
happiness,。出门儿溜达儿着找酒喝吧，还是没找着干事儿的人，幸好我强劲持久的小身子骨儿还硬朗着，还噪的来着 ...
disgust,。客厅的电视开到了45的音量，窗外好多人在打鞭炮。。。卧槽，还让不让人听歌了[抓狂] [抓狂] [抓狂] [抓狂] [抓狂] [抓狂] [抓狂]
surprise,。震惊了！。合格率如此之高，屁民还有必要为食品安全担心吗？。政府机关的特供基地，莫非只是浮云？。农业部表示，今年一季度农产品例行监测结果显示，我国蔬菜、畜禽产品和水产品监测合格率分别为97.1%、99.8%和97.8%。
sadness,。你不知道某些时刻，我有多么难过;。你不知道，没有回应的等待，真的让人很累;。你不知道，我是鼓起了多大的勇气，才敢念念不忘。
happiness,。[哈哈] [哈哈] [哈哈] [哈哈] 今晚7点正式发布《FACE》网络版，各位亲朋好友敬请关注和转发。
disgust,。现实就是 有幸福 不能晒~~因为有些无聊人 不会祝福 只会羡慕嫉妒恨~~ 因为我懂你们没有，也得不到，体现的只有你们的自卑~我不晒了~~ 省的给自己添麻烦。。爱我的朋友会给我最真挚的祝福。
happiness,"。好吧,你好了就成~果然吃的最能治愈你~哈哈!。其实不用抱歉,发泄出来好,总憋着再憋出点毛病...。明天请做好心里准备,因为会多到你签不完哦~XD加油加油!。瓦是人不在专辑在~"
like,。这是我的学生郭涛，中专毕业留校继续读大专。。我问他今后的打算，他说可能要自己开店，因为没有地方要他。。他是福利院来的孩子，谁能帮他开店？。又问他如果一个人生活，可以完全自理吗？。他说没试过，然后坚毅的望着我，说：总要有这一天的！。每次碰到他，总是笑容满面，告诉我他很好。。愿你一生都好，郭涛！
like,。哇 这个太有了..。指定是年度最给力的...。童鞋们不看可别后悔阿..。这女子敢不敢在美点..。比冠稀们还给力.。特别是最后那一暮 .。大家对着屏幕近点..。收获也就大点..
like,。没想到看《犯罪心理》也能把我看哭了，没有血腥、没有坐飞机，有的是感动，虽然也有不解，但是还是感动了[心]
sadness,。我发誓我绝对苦逼...。看到台湾签名会我各种羡慕嫉妒恨啊~~~~啊西!。大陆妹我苦逼等演唱会吧=_=
sadness,"。委屈就是,你明明是六月的骄阳也会觉得浑身颤抖,是无论是对着镜子看自己时,还是在拥挤的人群中,抑或在坐公车时,都会悄然的落下泪来。。。"
like,。青年文摘上的一篇文章，作者说因为怕韩庚老去不再美好而从此拒绝把他当偶像……。我不怕他的老去，韩庚不是我的偶像，他的存在，已如同家人无可替代！。哪怕你终有一天颜华不再，我会一直都在！
like,。臣附议！。因为两个摊主不知道跑到什么地方HAPPY去了所以我LIVE近距离听成TVT但是觉得效果很不错！
sadness,"。今天陪哥哥去医院,见到一对老年夫妻,爹爹87岁,婆婆89岁,爹爹生病了,没有孩子陪,让我觉得他们太可怜了."
sadness,"。据说如果一个人躺在北极的雪原上，海豹就会爬过来，替人挡风，并偎依着他，希望用自己的体温把人救活。。于是，有些猎杀海豹的人，就装死躺在雪地上，等海豹爬过来，猎杀者就用木棍杀死这些可爱的动物，海豹还不长记性，猎杀者每每成功…。我很痛心,你说老天能不报应地球吗...。停手吧!。求求你们啦!"
disgust,。哎呦，，莫一烈现在就死了。。。。这个环节真心是不好看啊不好看！！！。越往后看我都可以大概猜到情节了。。。，没有前面的扣人心弦好看了！。谁都可能是卧底。。。。太乱！！！[挖鼻屎]
like,。明晚看完最后一期《给力星期天》我要把张翰从我的记忆中暂时抹去！。暂时的忘记只是为了更好的迎接中考！。迎接6月24日！。等考完试我会继续爱翰！。等到7月份我一定会在电影院等待翰哥爽姐的《无极限》！。我会永远无极限的爱翰！。翰哥加油！。所有毕业年级的汉堡加油！。翰哥和汉堡一起加油打败所有困难！。加油！！！
sadness,。记得两年前，情人节的晚上。。我和女朋友玩了一个谁先理对方谁就输的游戏。。我兴奋地答应了，到现在都两年了。。我是不是已经被甩了啊？
disgust,。中国高中作业一年布置3亿多字，卷子连起来可绕地球3圈，连续9年全球数量第一，恭喜，我们又拿了个世界第一。
disgust,。打开窗户，柳絮满天飘！。有些角度看上去像在下雪。。走在户外，柳絮直往鼻孔里钻。。更可怕的是如果露天吃饭，柳絮都能飘到菜里，边吃边像赶苍蝇似的挥着手臂！。怎么办啊？。据说柳絮有清热解毒、止血化瘀的功效，既然还能造福人类，忍了！
like,。好想有个你，在我难过的时候，能把你的肩膀借给我让我依靠！。好想有个你，在我每次痛哭流涕时，借给我你的肩膀让我擦鼻涕！。好想有个你，在我每次摔倒时，你会抻出双手把我扶起！。好想有个你，在我最无助的时候，有你陪在我身边！。好想有个你，在我时刻需要你的时候，你会出现在我生命里！
sadness,。[蜡烛] [蜡烛] 到明天2月11号，mcqueen整整离开我们一年了，同做为设计师，理解或不理解他走的原因都不重要了，他的才华，他对时装的理解，让他永远活动我们心中！[蜡烛] [蜡烛]
anger,。妈妈说:女人一定要有自己的工作，稳定工作可以保持女人的思想独立和生活独立。。千万别相信男人说：你回家我养你。。在热恋期他给的可能心甘情愿，可是几年后呢？。爱你时要什么有什么！。不爱你时要什么没什么！。所以现在男人说的话不要全部相信，承诺只是暂时的，但是选择权在你手里，你有权选择你的生活方式
happiness,。明早出发，开启英伦古堡庄园探秘之旅，全程直播哈！！！。大不列颠，俺又要来了 ！！！（需代购的童鞋可随时私信我哈）
sadness,。2点半睡，6点起，体检，抽了我好多血啊……。眼睁睁看着同事去吃好吃的了，我一个人苦逼的在办公室趴下了，不想动……。我是真的老了呀……。@杭州304 都10年了，生个孩子都能打酱油了…
like,。蓝天白云，绿茵茂盛，气候适宜。。我的启蒙球场月亮湾，许久没来了。。还能寻找到当年的印象吗！。好好打，争取好成绩。
sadness,。今天又录了两期《全民运动会》+一期《超级新闻场》，明早的节目我的声音简直不能听了，完全累哑了，，，没办法，等它自己慢慢好起来吧。。明天一天还是两期《全民运动会》的录制。
sadness,。是晨线、是昏线、怎么就不是晨昏线啊。。。不是长江、不是黄河、怎么就冒出来个珠江来啊。。。[泪] [泪] [泪]
like,。我觉得闵行分局虹桥所是出新鲜经验的地方，建设警营长廊，就是一个非常好的举措。。我们干警平时都很辛苦，为确保社会平安，顾了大家舍小家，建造一个警营长廊，既可以记载民警的业绩，也可以给大家一种激励和教育。。愿警营长廊越办越好！
sadness,。心情很糟，躲在房间，不想梳头，不想洗脸，不想吃饭，也不想出门。。看到留言满是大家的安慰，鼓励，我顿时又忍不住泪水，真的。。有你们，真好。。放心，我想。。。我会回来的。
happiness,。收拾好了所有家伙，单反、两个镜头、三脚架[ok] 看台第一层的票，位置不赖，不过还是期望导演靠谱，能允许进内唱最好~~现场只要信号好，一定直播！。休息一下，准备出发[哈尼兔耶]
happiness,"。如果我曾经或多或少地激励了一些人的努力,我们的工作,曾经或多或少或少地扩展了人类的理解范围,因而给这个世界增添了一分欢乐,那我也就感到满足了"
anger,。操！。打人的外国人手持铁棍打一个中国男孩！。打完跑进去，愤怒的中国人把玻璃砸了！。听说打人者是此苹果店的老板！
like,。每年都有无数的人来拍梯田 我自知水平不好 仅存内心对哈尼族尤其是哈尼女人的敬仰 他们勤劳善良 砍柴上山 做饭背娃 笑容灿烂而简单~~
happiness,。哇咔咔，终于可以开吃啦[嘻嘻] 不过开动之前要先合照[花心] 设定自拍功能~3，2，1~！。有人头发榻在盘子里了[偷笑]
like,。河岸上民居中，一老奶奶定样样额坐在椅子上看着来往路人。。我妈用上海话问她几岁了，奶奶用嘉兴话答到九十八岁。。。[赞]
happiness,。我来发射怨念波拉~~~~~~借用阿律律的话：一只清蒸，一只红烧，一只炖汤，一只糖醋……。某四只，乃们说怎么样啊[偷笑]
like,。截止4月7日收到爱心救助款；叶小姐200元，吴志萍给宝宝的小布丁MP3和婴儿用品，谢谢大家对宝宝的帮助和祝福，家人在此跪谢了。。宝宝今天又靠大家的努力闯过了一关，宝宝是幸运的有这么多人关注她，愿天下所有白血病的宝宝都能健康的好起来
like,。现在还有三联书店这样的书店，不矫情，不伪装，在地下室安安静静摆着少人问津的书，舒适而沉默地呼吸着，等待有心人拾起，逐一检阅里面的字句。。空旷的地下室，越往里走越人烟稀少，巨大的寂寞撑起那些书的空洞世界。。不知是什么让这个世界不至于崩塌，我仰望的时候，总能看见浮华被结结实实地挡在外面。
disgust,。北大中关园，兄弟我租住这里快半年了，终于要搬走了。。好春雪。。北大就是这样，有的教师房多得出租，有的教师因为需要必须租房。。月租4000元。。这样的学校，一定有个极烂的资产管理部，摊子大，房产复杂而保密，数十年来养育着肮脏的蝇营狗苟。
surprise,。人类已经不能阻挡我老公网购的决心了！。当他他给我传过来这张照片时，我彻底被打败了！。如果你想知道这里是什么？。我可以大声的宣布：只有竹篮子跟铁壶！。[汗]怎么没人请他去给电商代言啊[酷]
anger,。一本日记拉下马一个局长；。一起车祸走红了一个父亲；。一艘渔船再燃起中日争端；。一个决定伤害了亿万网民；。一名记者代表了整个亚洲；。一场大火烧醒了一个城市；。一个村长续写了血迁阴云——我们一起送走2010，迎来2011，我们中有我有你，再难也要坚持，再好也要淡泊！。狠狠的健康、狠狠給力、狠狠的快乐！
sadness,。MBA的最后一节课了！。有遗憾有不舍。。恢复快乐周末也意味着这辈子这群人再不会一起在这个教室共同度过周末了！。告别，人生又一阶梯的跨越。
surprise,。这个世界太疯狂了！。连根特都开推了！。承诺一个礼拜内选个follower送签名球衣！。还跟森林球迷撒娇讨论gunter song！。居然也喜欢打乒乓球！。还跟列侬勾搭上了！。而且FO他比FO莱德利还前面！。感觉之前的脑内设定要全面修正了！
like,。再坚持一下，效率再高些，待会儿会带上我心仪的小东东！。唉，动力不足的时候，还是物质上的刺激能够打消不情愿，为心甘情愿添油加醋！
happiness,。2010总结？。还可以嘛``能凑齐12张，2011恐怕是画不出12张了，年纪大了``今年开始要认真寻找另一半了``最好她也爱画画[害羞]
surprise,。昨天上午跟老板说外出见客户，就溜出去了，其实是女朋友从外地来看我，跟她去离公司比较远的一间酒店开房XXOO去了---------------分割分割-----------。下午到大堂退房，然后看到老板拉着我们办公室财务的手从大堂的电梯里出来了，然后我、老板、财务六目相望。。。。。。。。然后就没有然后了。。。。。。
happiness,。这几天玩得差不多了，该忙正事啦！。摄影师让我给自己买点韩版和英伦风格的衣服为了过几天拍摄用。。反正都是那边影楼老板给报销，我是不是应该疯狂扫购一下呢？[哈哈][猥琐]
like,。宝贝儿，你都不知道你唱歌的时候有多美，回来吧，让我们听听你的声音，希望呼唤你能听得见........................。我要听蓦然回首（真自私！！！！！！）[偷笑]
happiness,。我今天算是见识到什么叫此地无银三百两了~~不过[害羞] 我觉得自己扇自己嘴巴这事儿肯定挺好玩[太开心]
like,。西域摄影俱乐部的采风，让我不经意的看到的松鼠，让我想起自己几年前的一张片子。。同一个的地方，同样的季节...。弹指一挥，同样的天空不一样的命，有过之而无不及...。至少现在的我，过的很好，愿你一样很好。。愿天下的有情人终成眷属。
like,。东湖一带的景色真的不错，远离喧嚣，风景绝佳，叫人舒爽，传媒大厦更如泰山直立，颇具气势，远眺东湖，犹若游在空中。。谢谢阿姐，熊猫灯太阔爱了[呵呵]
happiness,。今天去接父母过来小住。。这几年，也只有过年的时候才有机会和父母在一起生活几天，越来越珍惜。。母亲是山东人，从小家里就一直沿袭着北方人包饺子过年的传统。。下午一起剁馅子，包饺子，晚上吃的就是饺子。。仿佛又回到了年少的时光。。和父母在一起才是真正的过年啊！
like,。4、或许善良人们无法理解，为什么30多年来，国内外极端右翼势力一直死死咬住毛泽东，妖魔化毛泽东不放？。道理很简单，因为毛泽东代表着人民解放和民族团结，代表着中华民族的崛起和世界殖民规则的终结！。没有毛泽东思想的中国，中华民族崛起只是一个梦想；有了毛泽东思想的中国，中国崛起就是一个过程。
disgust,。京哈高速勇营救，网络诗人嘴放屁。。自诩诗人秘书长，意在走红后意淫。。文化修养低贱卑，其所作品脏乱差。。一心只图速红爆，全不知遗臭万年。。承诺六一起杀狗，滥杀无辜惹天怒。。人和狗猫皆平等，和睦相处显和谐。。国民素质须提高，爱护动物祭苍生。。仅以此诗献给做梦都想走红的网络诗人猪胱病先生。。愿它．．
sadness,。[向日葵][向日葵][向日葵]今天的腿不是我的腿那....。去了工大才发现人类已经无法阻止我想读真正大学的想法了！。[强壮]真是老大徒伤悲那....[抵消][抵消][抵消]
sadness,。看得想要落泪[心]。//@刘美人Barbie:这个新娘根本就是芭比娃娃啊~新郎你绝对赚到啦！。~祝福！。公主和王子永远幸福地生活在一起~
like,。我还是喜欢切成向日葵再吃。。//@_靜小安:剩下的那一半怎么办?。一样会弄脏手的...。索性一开始就脏脏的吃就好啦
like,。人生就是一次次放空，然后等待下一班车。。刚刚在父亲的车上，听了你的虎年最后一期《涛声依旧》，感动依旧。。那次在你的节目为你点播《大城小事》的那个女孩，在这个年末的时候，你是否有为她留出祝福？。听完节目，刚好到家。。兔年大吉O(∩_∩)O！！
sadness,。好吧。。我不得不承认有点想念在杭州的你们了。。美A大家庭里的每一个，组织里的浪花儿们，还有2姐们。。虽然也不舍得待在家里的日子，但终究还是要离开了。。明早启程回杭。。晚安。。家乡。
like,。导演：香月秀之，日本优秀导演，导演很照顾我，拍摄期间一直竖大拇指，给我很多鼓励。。阿哩噶多...[星][爸爸]
disgust,。今晚看了場演唱會 接著有人又喊著又要去798 但是我實在玩不動 吃完飯先回家 看來寄居蟹今夜不回家了[斜眼]醉了也可以不要回家[鄙视][鄙视][鄙视]
disgust,"。回复@石三张:你太纠结了。//@石三张:回复@煮机网:我还以为是个个案.。我拆开看过几次,方块键下面是橡皮.。后来我发现不拆开也看得到,汗 .。打开后盖,看侧面,方块键位置有块橡皮,我在上面加了片硬塑料.。这样感觉好点,但还是不爽."
disgust,。刚才，2逼小阿Sir又想去床上拉屎，被我发现，让我一个飞脚踹到沙盆里，然后他晕了一会儿，淡定地在沙盆里拉了一泡干干的屎............
